,Missing States
0,New Hampshire
1,New Mexico
2,Ohio
3,Texas
4,Maryland
5,Delaware
6,South Carolina
7,Wisconsin
8,Washington
9,North Carolina
10,Connecticut
11,Minnesota
12,Nebraska
13,Mississippi
14,Illinois
15,Kentucky
16,Nevada
17,Virginia
18,Iowa
19,Missouri
20,West Virginia
21,Arizona
22,Indiana
23,Kansas
24,Hawaii
25,South Dakota
26,Idaho
27,Arkansas
28,Utah
29,New Jersey
30,Colorado
31,Tennessee
32,Oklahoma
33,Pennsylvania
34,Alabama
35,Rhode Island
36,North Dakota
37,Georgia
38,Michigan
39,Montana
40,New York
41,Wyoming
42,Vermont
43,Louisiana
44,Maine
45,Massachusetts
